category,CodedMonth,Month,Year,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,latitude,longitude,id
2,2017-03,3,2017,3/1/17 13:25,34421,1,"ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS",4600,CHIPPEWA ST,5, ,CRICKET,4600,CHIPPEWA,38.590411,-90.2706985,29
3,2017-03,3,2017,3/1/17 13:45,42013,4,"AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE",1100,LUCAS AVE,35, ,PARKING LOT,1111,LOCUST,38.63172387,-90.19507892,30
2,2017-03,3,2017,3/1/17 14:00,64701,5,"LARCENY-FROM MTR VEH UNDER $500",4444,WEST PINE BLVD,38, , ,4444,WEST PINE,38.64019301,-90.25629597,31
2,2017-03,3,2017,3/1/17 14:00,51112,4,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",2913,HARPER ST,67, , ,2913,HARPER,38.66076867,-90.21296164,32
2,2017-03,3,2017,3/1/17 15:10,51111,1,"BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED",4328,TAFT AVE,5, , ,4328,TAFT,38.58664609,-90.26642232,33
3,2017-03,3,2017,3/1/17 15:15,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2015,MADISON ST,60, , ,2015,MADISON,38.64662425,-90.20513109,34
2,2017-03,3,2017,3/1/17 16:20,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",4351,LINTON AVE,67, , ,4351,LINTON,38.6721433,-90.21679615,35
2,2017-03,3,2017,3/1/17 17:00,72130,2,"AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE",4255,MERAMEC ST,15, , ,4255,MERAMEC,38.59125945,-90.26241775,36
2,2017-03,3,2017,3/1/17 17:00,69702,2,"LARCENY-ALL OTHER UNDER $500",5450,ARSENAL ST,13,ENGINE CO 35, ,5450,ARSENAL,38.60570645,-90.28104041,37
5,2017-03,3,2017,3/1/17 17:14,117000,4,"FAILURE TO RETURN BORROWED/RENTED VEHICL",2808,N GRAND BLVD,59, , ,2808,GRAND,38.65514131,-90.22048752,38
2,2017-03,3,2017,3/1/17 17:20,66601,5,"LARCENY-BICYCLES $500 - $24,999",212,N KINGSHIGHWAY BLVD,38,CHASE PARK PLAZA,@HOTEL- CHASE PARK PLAZA, , ,38.64425009,-90.26365112,39
6,2017-03,3,2017,3/1/17 18:00,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3802,MCREE AVE,29, , ,3803,MCREE,38.61810262,-90.24244716,40
2,2017-03,3,2017,3/1/17 18:00,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",4015,NEBRASKA AVE,16, , ,4015,NEBRASKA,38.58292693,-90.2349384,41
6,2017-03,3,2017,3/1/17 18:00,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",300,S GRAND BLVD,37, , ,300,GRAND,38.63183346,-90.23319045,42
3,2017-03,3,2017,3/1/17 18:08,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3206,BELL AVE,77, ,A,3206,BELL,38.64118671,-90.2240037,43
6,2017-03,3,2017,3/1/17 18:30,142320,6,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4121,CAMELLIA AVE,69, , ,4121,CAMELLIA,38.6752071,-90.23650467,44
2,2017-03,3,2017,3/1/17 19:00,51312,3,"BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED",1808,S 10TH ST,21, ,GARAGE,1808,10TH,38.61005489,-90.20435447,45
3,2017-03,3,2017,3/1/17 19:06,91123,2,"SIMPLE ASSAULT-CHILD/NO INJURY",3815,MAGNOLIA AVE,27,MISSOURI SCHOOL FOR THE BLIND, ,3815,MAGNOLIA,38.60813486,-90.2449318,46
5,2017-03,3,2017,3/1/17 19:30,115100,1,"FRAUD-STEALING BY DECEIT/OVER $150",5002,CHRISTY BLVD,5, , ,5002,CHRISTY,38.58356242,-90.2762715,47
3,2017-03,3,2017,3/1/17 20:00,41014,6,"ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC",0,GOODFELLOW BLVD / I 70 WESTBOU,70, ,I 70 WESTBOUND / GOODFELLOW BLVD,8316,DICKMAN PARK,38.70062977,-90.26406661,48
